,date,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
361,2021- 04- 27,145.9,1549.75,109.8,28530.0,77710.0,590.0
362,2021- 04- 26,143.35,1569.0,109.25,30560.0,84660.0,350.0
363,2021- 04- 23,138.5,1539.75,109.35,28490.0,112190.0,380.0
364,2021- 04- 22,136.15,1533.25,107.45,15290.0,115380.0,470.0
365,2021- 04- 21,134.2,1497.25,107.6,22150.0,88610.0,600.0
366,2021- 04- 20,134.45,1472.0,108.08,24100.0,91630.0,470.0
367,2021- 04- 19,131.9,1449.75,105.65,21210.0,78230.0,440.0
368,2021- 04- 16,131.2,1433.25,102.47,25400.0,88560.0,980.0
369,2021- 04- 15,134.7,1418.25,103.4,29040.0,85080.0,1830.0
370,2021- 04- 14,134.05,1410.0,103.6,28780.0,113550.0,4250.0
